"id";"q_token";"q_form";"q_lemma";"context";"token";"lemma";"plural";"singular";"author";"period";"dialect";"filename";"genre";"verse_or_prose";"foreign_original";"relationship_to_spoken_language";"prototypicaltext_category";"pde_count";"semantics";"orig";"oe_etymon";"oe_class";"oe_stem";"oe_gender";"period_simple";"period_sorted";"period_main"
"18517176";"muche";"muche";"much";"and muche bloode they bledde bothe , that all the place $there $as {TEXT:thereas} *T*-1 they fought was ovirbledde with bloode .";"bloode";"blood";"";"1";"MALORY THOMAS";"M4";"WML";"CMMALORY";"";"PROSE";"X";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18519578";"no";"no";"no";"for whyles 0 ye have the scawberde uppon you , ye shall lose no blood , be ye never so sore wounded .";"blood";"blood";"";"1";"MALORY THOMAS";"M4";"WML";"CMMALORY";"";"PROSE";"X";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18533156";"no";"no";"no";"for ye shall lose no bloode whyle 0 ye have the scawberde uppon you , thoughe 0 ye have as many woundis uppon you as 0 0 *T*-1 ye may have . '";"bloode";"blood";"";"1";"MALORY THOMAS";"M4";"WML";"CMMALORY";"";"PROSE";"X";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m4";"h_m4";"b_me"
"18678929";"all";"all";"all";"all the gode blood of his reme";"blood";"blood";"";"1";"X";"M3";"EML";"CMMANDEV";"";"PROSE";"FRENCH";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18678976";"all";"all";"all";"all the riall blood was lost";"blood";"blood";"";"1";"X";"M3";"EML";"CMMANDEV";"";"PROSE";"FRENCH";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18697383";"no";"no";"no";"drawe no blod vpon him";"blod";"blood";"";"1";"X";"M3";"EML";"CMMANDEV";"";"PROSE";"FRENCH";"WRITTEN";"NARR IMAG";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18744091";"no";"no";"no";"he sched no blod";"blod";"blood";"";"1";"MIRK JOHN";"M3/4";"WMO";"CMMIRK";"";"PROSE";"X";"X";"INSTR REL";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18751737";"all";"all";"all";"and all hor blod schuld haue be done yn a vessell";"blod";"blood";"";"1";"MIRK JOHN";"M3/4";"WMO";"CMMIRK";"";"PROSE";"X";"X";"INSTR REL";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18753458";"moche";"moche";"much";"and sched moche blode";"blode";"blood";"";"1";"MIRK JOHN";"M3/4";"WMO";"CMMIRK";"";"PROSE";"X";"X";"INSTR REL";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
"18760106";"no";"no";"no";"*con* haþe no blod yn hym";"blod";"blood";"";"1";"MIRK JOHN";"M3/4";"WMO";"CMMIRK";"";"PROSE";"X";"X";"INSTR REL";"u";"s";"G";"blod";"Strong";"A-Stem";"N";"m3";"g_m3";"b_me"
